study_hours,attendance,previous_score,assignments_completed,result
1,45,38,2,Fail
1.5,50,42,3,Fail
2,52,45,3,Fail
2.5,55,49,4,Fail
3,58,51,4,Fail
3.5,60,54,5,Fail
4,62,56,5,Fail
4.5,64,58,6,Fail
5,65,59,6,Fail
5.5,67,61,7,Pass
6,70,63,7,Pass
6.5,72,65,8,Pass
7,74,68,8,Pass
7.5,76,70,9,Pass
8,78,72,9,Pass
8.5,80,74,10,Pass
9,82,76,10,Pass
9.5,84,78,11,Pass
10,86,80,11,Pass
10.5,88,82,12,Pass
2,80,75,8,Pass
3,85,78,9,Pass
4,90,82,10,Pass
5,92,85,11,Pass
6,55,45,4,Fail
7,50,48,5,Fail
8,60,52,6,Fail
9,62,55,7,Pass
1,70,65,7,Fail
3,75,70,8,Pass
4,45,40,2,Fail
6,68,60,7,Pass
